Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
5525;28/10/2018 - 13:00;471,24;148,68;0;0,9536597;Fora Ponta
5524;28/10/2018 - 12:45;469,56;149,1;0;0,95310475;Fora Ponta
5523;28/10/2018 - 12:30;469,98;148,68;0;0,95342801;Fora Ponta
5522;28/10/2018 - 12:15;460,74;145,74;0;0,95343806;Fora Ponta
5521;28/10/2018 - 12:00;458,64;144,48;0;0,95379363;Fora Ponta
5520;28/10/2018 - 11:45;469,14;141,96;0;0,95713963;Fora Ponta
5519;28/10/2018 - 11:30;467,46;142,38;0;0,9566114;Fora Ponta
5518;28/10/2018 - 11:15;470,82;148,26;0;0,95382668;Fora Ponta
5517;28/10/2018 - 11:00;468,72;147;0;0,95417521;Fora Ponta
5516;28/10/2018 - 10:45;473,76;151,62;0;0,95241434;Fora Ponta
5515;28/10/2018 - 10:30;460,74;149,94;0;0,95091296;Fora Ponta
5514;28/10/2018 - 10:15;459,48;146,58;0;0,95269677;Fora Ponta
5513;28/10/2018 - 10:00;460,32;145,32;0;0,95360896;Fora Ponta
5512;28/10/2018 - 09:45;462,84;145,32;0;0,95407858;Fora Ponta
5511;28/10/2018 - 09:30;486,78;147;0;0,95730183;Fora Ponta
5510;28/10/2018 - 09:15;486,36;145,32;0;0,95814451;Fora Ponta
5509;28/10/2018 - 09:00;445,62;145,32;0;0,95072409;Fora Ponta
5508;28/10/2018 - 08:45;459,9;147,84;0;0,95201951;Fora Ponta
5507;28/10/2018 - 08:30;466,2;145,74;0;0,95444937;Fora Ponta
5506;28/10/2018 - 08:15;456,96;149,52;0;0,9504159;Fora Ponta
