Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 31/10/2018 - 14:23;;;;
Medidor: 22101013;;Data da Leitura: 31/10/2018 - 13:45;;;;
Data Inicial: 01/09/2018 - 00:00;;Data Final: 31/10/2018 - 23:00;;;;
Id;Data do registro;kW;kVARInd;kVARCap;Fator de Potência: ;Posto horário: 
8156;24/01/2019 - 22:45;123,9;37,37999999;0;0,95737852;Fora Ponta
8155;24/01/2019 - 22:30;128,205;38,84999999;0;0,9570244;Fora Ponta
8154;24/01/2019 - 22:15;125,895;38,745;0;0,95576177;Fora Ponta
8153;24/01/2019 - 22:00;129,99;37,69499999;0;0,96043328;Fora Ponta
8152;24/01/2019 - 21:45;139,02;39,69;0;0,96157874;Fora Ponta
8151;24/01/2019 - 21:30;134,295;39,06;0;0,96020993;Fora Ponta
8150;24/01/2019 - 21:15;133,35;38,43;0;0,9608933;Fora Ponta
8149;24/01/2019 - 21:00;135,45;39,69;0;0,95964931;Fora Ponta
8148;24/01/2019 - 20:45;140,49;41,89499999;0;0,95829808;Fora Ponta
8147;24/01/2019 - 20:30;137,76;40,845;0;0,95874649;Fora Ponta
8146;24/01/2019 - 20:15;148,575;42,315;0;0,96175444;Fora Ponta
8145;24/01/2019 - 20:00;152,565;43,575;0;0,96154891;Ponta
8144;24/01/2019 - 19:45;145,005;42,735;0;0,95921051;Ponta
8143;24/01/2019 - 19:30;148,575;44,51999999;0;0,95791939;Ponta
8142;24/01/2019 - 19:15;150,675;44,625;0;0,9588318;Ponta
8141;24/01/2019 - 19:00;153,09;45,36;0;0,95879811;Ponta
8140;24/01/2019 - 18:45;158,13;47,87999999;0;0,95708852;Ponta
8139;24/01/2019 - 18:30;162,54;50,715;0;0,95461155;Ponta
8138;24/01/2019 - 18:15;162,225;49,24499999;0;0,95688365;Ponta
8137;24/01/2019 - 18:00;157,815;49,14;0;0,95478467;Ponta
8136;24/01/2019 - 17:45;166,425;49,875;0;0,95790941;Ponta
8135;24/01/2019 - 17:30;167,895;49,98;0;0,95843451;Ponta
8134;24/01/2019 - 17:15;169,68;49,245;0;0,96037188;Ponta
8133;24/01/2019 - 17:00;176,715;49,76999999;0;0,96255305;Fora Ponta
8132;24/01/2019 - 16:45;183,015;51,135;0;0,96311308;Fora Ponta
8131;24/01/2019 - 16:30;185,01;51,45;0;0,96343953;Fora Ponta
8130;24/01/2019 - 16:15;188,685;52,5;0;0,9634026;Fora Ponta
8129;24/01/2019 - 16:00;196,665;52,815;0;0,96577985;Fora Ponta
8128;24/01/2019 - 15:45;202,02;51,765;0;0,96870423;Fora Ponta
8127;24/01/2019 - 15:30;206,22;51,135;0;0,97060584;Fora Ponta
8126;24/01/2019 - 15:15;209,895;52,29;0;0,97034204;Fora Ponta
8125;24/01/2019 - 15:00;212,415;52,185;0;0,97112276;Fora Ponta
8124;24/01/2019 - 14:45;219,555;53,865;0;0,97119867;Fora Ponta
8123;24/01/2019 - 14:30;222,705;54,915;0;0,97091836;Fora Ponta
8122;24/01/2019 - 14:15;231,735;56,91;0;0,97114357;Fora Ponta
8121;24/01/2019 - 14:00;239,61;57,85499999;0;0,97206545;Fora Ponta
8120;24/01/2019 - 13:45;234,57;58,37999999;0;0,97039747;Fora Ponta
8119;24/01/2019 - 13:30;239,085;60,375;0;0,96956367;Fora Ponta
8118;24/01/2019 - 13:15;236,88;60,48;0;0,96891771;Fora Ponta
8117;24/01/2019 - 13:00;235,2;59,01;0;0,96993838;Fora Ponta
