Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
5502;27/02/2018 - 07:15;143,325;44,625;0;0,95479061;Fora Ponta
5501;27/02/2018 - 07:00;133,98;41,89499999;0;0,95442672;Fora Ponta
5500;27/02/2018 - 06:45;116,76;38,745;0;0,94910919;Fora Ponta
5499;27/02/2018 - 06:30;102,375;33,81;0;0,94955616;Fora Ponta
5498;27/02/2018 - 06:15;93,66;31,92;0;0,94653964;Fora Ponta
5497;27/02/2018 - 06:00;89,145;30,345;0;0,94665714;Fora Ponta
5496;27/02/2018 - 05:45;87,36;30,45;0;0,94428223;Fora Ponta
5495;27/02/2018 - 05:30;90,195;30,66;0;0,94679289;Fora Ponta
5494;27/02/2018 - 05:15;87,36;31,08;0;0,94215112;Fora Ponta
5493;27/02/2018 - 05:00;83,36999999;27,93;0;0,94820453;Fora Ponta
5492;27/02/2018 - 04:45;83,16;28,98;0;0,94430361;Fora Ponta
5491;27/02/2018 - 04:30;81,06;29,085;0;0,94124436;Fora Ponta
5490;27/02/2018 - 04:15;81,16499999;29,085;0;0,94138319;Fora Ponta
5489;27/02/2018 - 04:00;80,955;28,98;0;0,941493;Fora Ponta
5488;27/02/2018 - 03:45;82,10999999;29,92499999;0;0,93954762;Fora Ponta
5487;27/02/2018 - 03:30;84;31,605;0;0,93594398;Fora Ponta
5486;27/02/2018 - 03:15;84,945;32,12999999;0;0,93532762;Fora Ponta
5485;27/02/2018 - 03:00;92,39999999;32,655;0;0,94285179;Fora Ponta
5484;27/02/2018 - 02:45;93,87;33,18;0;0,94283447;Fora Ponta
5483;27/02/2018 - 02:30;90,405;34,44;0;0,93448773;Fora Ponta
5482;27/02/2018 - 02:15;91,77;35,385;0;0,93304261;Fora Ponta
5481;27/02/2018 - 02:00;90,09;33,915;0;0,93588015;Fora Ponta
5480;27/02/2018 - 01:45;91,035;33,17999999;0;0,93954004;Fora Ponta
5479;27/02/2018 - 01:30;93,66;34,96499999;0;0,9368461;Fora Ponta
5478;27/02/2018 - 01:15;95,13;35,69999999;0;0,93624421;Fora Ponta
5477;27/02/2018 - 01:00;98,385;34,545;0;0,94352821;Fora Ponta
5476;27/02/2018 - 00:45;95,76;33,18;0;0,94488748;Fora Ponta
5475;27/02/2018 - 00:30;95,13;31,395;0;0,94962241;Fora Ponta
5474;27/02/2018 - 00:15;91,14;29,50499999;0;0,95138785;Fora Ponta
5473;27/02/2018 - 00:00;89,98499999;30,24;0;0,9479062;Fora Ponta
5472;26/02/2018 - 23:45;91,77;31,5;0;0,94583205;Fora Ponta
5471;26/02/2018 - 23:30;97,22999999;33,075;0;0,94672287;Fora Ponta
5470;26/02/2018 - 23:15;101,43;34,44;0;0,94690411;Fora Ponta
5469;26/02/2018 - 23:00;104,055;35,175;0;0,94733648;Fora Ponta
5468;26/02/2018 - 22:45;108,15;34,65;0;0,95231673;Fora Ponta
5467;26/02/2018 - 22:30;108,57;35,07;0;0,9515871;Fora Ponta
5466;26/02/2018 - 22:15;106,68;35,91;0;0,94774634;Fora Ponta
5465;26/02/2018 - 22:00;104,265;36,53999999;0;0,94372493;Fora Ponta
5464;26/02/2018 - 21:45;107,1;36,33;0;0,94699887;Fora Ponta
5463;26/02/2018 - 21:30;106,365;35,69999999;0;0,94802616;Fora Ponta
5462;26/02/2018 - 21:15;107,205;35,385;0;0,94960927;Fora Ponta
5461;26/02/2018 - 21:00;109,935;35,385;0;0,9519055;Fora Ponta
5460;26/02/2018 - 20:45;110,46;36,54;0;0,9494028;Fora Ponta
5459;26/02/2018 - 20:30;113,4;39,375;0;0,94467366;Fora Ponta
5458;26/02/2018 - 20:15;116,655;38,745;0;0,94902442;Fora Ponta
