Relatório de Memória de Massa;;;;;;
Descrição: UNIVERSIDADE FEDERAL TRIANG MINEIRO UFTM;;;;;;
Ponto de Medição: 3011467333;;Data de Emissão: 28/01/2019 - 08:28;;;;
Medidor: 22101013;;Data da Leitura: 28/01/2019 - 07:30;;;;
Data Inicial: 01/11/2018 - 00:00;;Data Final: 25/01/2019 - 23:00;;;;
Id;Data do registro;kWh;kVARhInd;kVARhCap;Fator de Potência: ;Posto horário: 
23147;30/08/2018 - 02:30;80,85;28,55999999;0;0,94289987;Fora Ponta
23146;30/08/2018 - 02:15;78,96;27,72;0;0,94354495;Fora Ponta
23145;30/08/2018 - 02:00;86,41499999;28,24499999;0;0,950515;Fora Ponta
23144;30/08/2018 - 01:45;88,305;28,14;0;0,95279177;Fora Ponta
23143;30/08/2018 - 01:30;84,315;28,77;0;0,94642016;Fora Ponta
23142;30/08/2018 - 01:15;88,41;30,03;0;0,94686866;Fora Ponta
23141;30/08/2018 - 01:00;90,40499999;28,875;0;0,952591;Fora Ponta
23140;30/08/2018 - 00:45;88,725;29,29499999;0;0,94957847;Fora Ponta
23139;30/08/2018 - 00:30;85,67999999;29,29499999;0;0,94622004;Fora Ponta
23138;30/08/2018 - 00:15;89,88;30,24;0;0,94779378;Fora Ponta
23137;30/08/2018 - 00:00;90,195;29,29499999;0;0,951091;Fora Ponta
23136;29/08/2018 - 23:45;91,77;29,505;0;0,95200589;Fora Ponta
23135;29/08/2018 - 23:30;96,17999999;31,5;0;0,95033019;Fora Ponta
23134;29/08/2018 - 23:15;96,07499999;30,765;0;0,9523637;Fora Ponta
23133;29/08/2018 - 23:00;99,435;30,135;0;0,9570159;Fora Ponta
23132;29/08/2018 - 22:45;105;31,08;0;0,95887546;Fora Ponta
23131;29/08/2018 - 22:30;101,115;30,555;0;0,95724984;Fora Ponta
23130;29/08/2018 - 22:15;101,325;30,24;0;0,95823526;Fora Ponta
23129;29/08/2018 - 22:00;102,795;30,65999999;0;0,95828305;Fora Ponta
23128;29/08/2018 - 21:45;106,05;30,975;0;0,95989348;Fora Ponta
23127;29/08/2018 - 21:30;99,435;29,29499999;0;0,95923636;Fora Ponta
23126;29/08/2018 - 21:15;103,845;30,03;0;0,96063932;Fora Ponta
23125;29/08/2018 - 21:00;102,27;29,4;0;0,96107585;Fora Ponta
23124;29/08/2018 - 20:45;105;29,4;0;0,96296401;Fora Ponta
